rank_position,click_rate,n
1,0.06670849922104899,92432
2,0.05561926605504587,92432
3,0.03887973640856672,88015
4,0.03167091372406261,85157
5,0.025776116703839894,82945
6,0.025359894942887585,80718
7,0.019589112631029255,78513
8,0.018795230905399075,76828
9,0.016502046093760415,75021
10,0.016237478222996517,73472
11,0.014018497206006739,72119
12,0.01359668359767399,70679
13,0.011492087415222306,69004
14,0.012027694765807615,67594
15,0.011053728368216,66222
16,0.010787436714217565,64983
17,0.009650577157693872,63934
18,0.00916803285211772,62827
19,0.0087919560887939,61761
20,0.009150648923936258,60870
