specification,coef,se,pval,N,n_items
"Click ~ rank_position (item FE, demeaned)",-0.0007660661946427699,3.223391694660143e-05,7.536043717904796e-125,3529009,37633
"Purchase ~ rank_position (item FE, demeaned)",6.819266404124425e-06,4.266408957121369e-06,0.10996241298420353,3529009,37633
"Click ~ early_exposure (item FE, demeaned)",0.005307820681972894,0.00046618274037430715,4.9266316804322215e-30,3529009,37633
"Purchase ~ early_exposure (item FE, demeaned)",-7.116128168921184e-05,5.938107118892525e-05,0.23076784627427926,3529009,37633
"Click ~ top5 (item FE, demeaned)",0.010502752436175801,0.00058271003083284,1.2632611077686208e-72,3529009,37633
"Purchase ~ top5 (item FE, demeaned)",-5.599934161643829e-05,8.108026932821753e-05,0.4897757992549807,3529009,37633
Purchase|Click ~ rank_position (item FE),0.00017844369267401062,0.00012737441105112148,0.16123252020674383,57553,9563
Purchase|Click ~ early_exposure (item FE),-0.00409137643882543,0.0020465232081397873,0.04558844985064842,57553,9563
"Click ~ rank_position (no FE, FE sample)",-0.0005017469044644471,8.381449122697176e-06,0.0,3529009,37633
"Purchase ~ rank_position (no FE, FE sample)",-6.748021964760354e-06,1.152830303920614e-06,4.8151065193442205e-09,3529009,37633
