boundary,bandwidth,outcome,rate_above,rate_below,rd_estimate,se,pval,N
5,3,was_clicked,0.02270615004967471,0.021620680417894455,-0.0007120029172794568,0.0007256707619530769,0.32651126930769225,872548
5,3,was_purchased,0.00040661154376181777,0.00044468256094294136,0.00011224011955835162,0.00010810786490955481,0.29916604163224914,872548
10,3,was_clicked,0.019735879723689558,0.018329661961872128,-0.0009406982233395523,0.0006771023848051171,0.16474159771485486,859910
10,3,was_purchased,0.00035960991466883383,0.00039433249027766445,0.00019174049395735194,0.00010132338987345499,0.058442816329107215,859910
15,3,was_clicked,0.01725293548146861,0.017192905675847112,0.0008217160964277982,0.0006564991916358196,0.21069249408849866,844417
15,3,was_purchased,0.00032271677879006035,0.00034070040246966246,5.2421475155017645e-05,9.035054208720921e-05,0.5617790772308158,844417
20,3,was_clicked,0.014392191105844197,0.014363887126418293,0.00040547878047515664,0.0006206870347224825,0.5135795694785192,784627
20,3,was_purchased,0.00030962924682128825,0.00032171294269041383,7.944099866767416e-05,9.352425058560066e-05,0.39564983038165047,784627
25,3,was_clicked,0.013675886467070202,0.012915151478480798,-0.00039160409090802675,0.0005976957524245613,0.5123456356263711,772634
25,3,was_purchased,0.0002623888240456738,0.00030253341481566637,0.00011425419225883314,9.160256124136168e-05,0.21229424927686558,772634
10,4,was_clicked_item_fe,,,-0.0002655808798616364,0.0006179269104141872,0.6673459671920008,1091512
10,4,was_purchased_item_fe,,,0.00019728319329931956,9.045107541350372e-05,0.02917573249159309,1091512
