rank_position,click_rate,purchase_rate,n
1,0.03117046347211312,0.000408483896307934,63650
2,0.025680258695480716,0.0003943528669453427,63395
3,0.025799401339858412,0.00038010167719865066,63141
4,0.0245045102274171,0.0004129081438190827,62968
5,0.02412343555937709,0.0003821534346039935,62802
6,0.022312016865776527,0.0004631699993611448,62612
7,0.02121488887820667,0.00036853658927398295,62409
8,0.021104365423532813,0.00040152902251774757,62262
9,0.02085413378852781,0.0003381751425166672,62098
10,0.020609073156561172,0.0003066346045220535,61963
11,0.018410570290488683,0.00046957479192979046,61758
12,0.017703862660944206,0.00037391078163610353,61512
13,0.018216213571649896,0.00035877949738254047,61319
14,0.018207420506271083,0.00039296591020728953,61074
15,0.017051054602799133,0.00029568302779420464,60876
16,0.018121911037891267,0.00042833607907742996,60700
17,0.01668238915644705,0.00038064975257766083,60423
18,0.01726143009037746,0.0003322700691121744,60192
19,0.017423636121115114,0.00046685340802987864,59976
20,0.015915608700756367,0.00035218944437922416,59627
