specification,outcome,N,y_mean,R2,coef_early_exposure,se_early_exposure,pval_early_exposure,coef_top5,se_top5,pval_top5,coef_norm_rank,se_norm_rank,pval_norm_rank
D-M1a: Click ~ EarlyExposure,was_clicked,1790608,0.018442339138437895,5.790388928439416e-05,0.002315490616127135,0.0002338341434587083,4.069006918966299e-23,,,,,,
D-M1b: Click ~ Top5,was_clicked,1790608,0.018442339138437895,0.0007245365658157255,,,,0.009500326027768314,0.00030352622932703423,4.688006467759784e-215,,,
D-M1c: Click ~ NormRank,was_clicked,1790608,0.018442339138437895,2.7328115479452464e-05,,,,,,,-0.002350728340636832,0.0003472307872224085,1.2884416212566447e-11
D-M1d: Click ~ EarlyExposure + price,was_clicked,1790608,0.018442339138437895,0.000269074127187241,0.00221676213665436,0.0002339371819495947,2.645055987903204e-21,,,,,,
D-M2a: Purchase ~ EarlyExposure,was_purchased,1790608,0.00035686202675292415,7.943958617584457e-07,-3.807275910615789e-05,3.111748166687928e-05,0.22113459294151483,,,,,,
D-M2b: Purchase ~ Top5,was_purchased,1790608,0.00035686202675292415,9.024420488668028e-07,,,,4.7067895189857173e-05,3.8573833544112e-05,0.22238804998676964,,,
D-M2c: Purchase ~ NormRank,was_purchased,1790608,0.00035686202675292415,1.43851587197652e-06,,,,,,,7.571147016726118e-05,4.760230803870489e-05,0.11172214926029816
D-M2d: Purchase ~ EarlyExposure + price,was_purchased,1790608,0.00035686202675292415,7.4198534908420655e-06,-4.052769859783879e-05,3.1185369195945314e-05,0.19374697594247836,,,,,,
D-M3a: Purchase|Click ~ EarlyExposure,was_purchased,33023,0.011870514489900978,8.65082161796149e-05,-0.0022174647539843248,0.00126029004805943,0.078494718914414,,,,,,
D-M3b: Purchase|Click ~ NormRank,was_purchased,33023,0.011870514489900978,4.870654123334539e-05,,,,,,,0.002444904395875089,0.0018601430335963597,0.1887238553702787
D-M3c: Purchase|Click ~ EarlyExposure + price,was_purchased,33023,0.011870514489900978,9.722560018543547e-05,-0.002221410335738084,0.00126062890964022,0.07804488152540746,,,,,,
D-M3d: Purchase|View ~ EarlyExposure,was_purchased,41156,0.010302264554378462,8.072635303013609e-05,-0.002009706833016271,0.0010557681859115228,0.05696890203644665,,,,,,
D-M3e: Purchase|View ~ NormRank,was_purchased,41156,0.010302264554378462,7.24427514504633e-05,,,,,,,0.002810393321373367,0.0015951865105948255,0.07810375940732914
