specification,outcome,N,y_mean,coef_early_exposure,se_early_exposure,pval_early_exposure,R2,coef_norm_position,se_norm_position,pval_norm_position,coef_first_half,se_first_half,pval_first_half
M1a: Cart ~ EarlyExposure,was_carted,6570563,0.024791330666793697,0.0031491620902338144,0.00013396057736134824,3.368460109916748e-122,8.80149048472223e-05,,,,,,
M1b: Cart ~ EarlyExposure + controls,was_carted,6570563,0.024791330666793697,0.003174045409072876,0.00013383406250487375,2.449741477470982e-124,0.001775922887391923,,,,,,
M2a: Purchase ~ EarlyExposure,was_purchased,6570563,0.039713644021067904,-0.0002979719466725162,0.00016424730440868523,0.06965210601325311,4.995436343468995e-07,,,,,,
M2b: Purchase ~ EarlyExposure + controls,was_purchased,6570563,0.039713644021067904,-0.00029722179676461123,0.00016425663693604185,0.07037391557613522,1.4720341833251993e-06,,,,,,
M3a: Purchase|Cart ~ EarlyExposure,was_purchased,162893,0.5024156961932066,-0.014311683178156707,0.002616800213597044,4.5218890406240516e-08,0.00018359686127056296,,,,,,
M3b: Purchase|Cart ~ EarlyExposure + controls,was_purchased,162893,0.5024156961932066,-0.016510300676496118,0.0026069467487064494,2.4013660902403586e-10,0.008124319111299405,,,,,,
M4a: Cart ~ NormPosition,was_carted,6570563,0.024791330666793697,,,,3.824971820731715e-05,0.0027453740797179983,0.0001918542816245312,1.903773151975536e-46,,,
M4b: Purchase ~ NormPosition,was_purchased,6570563,0.039713644021067904,,,,0.0007613731702175164,0.015383591762023878,0.00024475828543619343,0.0,,,
M4c: Purchase|Cart ~ NormPosition,was_purchased,162893,0.5024156961932066,,,,0.0023908161172048192,0.06288606216995585,0.003182535748552339,6.6151477851191495e-87,,,
M5a: Cart ~ FirstHalf,was_carted,6570563,0.024791330666793697,,,,2.2318125882381246e-05,,,,-0.001472542703581684,0.00012183936793020052,1.2533588762706527e-33
M5b: Purchase ~ FirstHalf,was_purchased,6570563,0.039713644021067904,,,,0.0005681443987214374,,,,-0.009331252746021505,0.00015384829850893415,0.0
M5c: Purchase|Cart ~ FirstHalf,was_purchased,162893,0.5024156961932066,,,,0.0021877824298097703,,,,-0.04680802285461556,0.0024767585153865988,1.1644505774492265e-79
